Membership No  Date Joined  Active  
    57708      2016-5-9     yes   
    21681      2015-11-14   yes   
    37548      2015-4-20    no    
    94929      2017-8-22    no    
    23196      2018-9-23    no    
    63858      2017-3-1     no    
    28836      2020-2-13    no    
    46634      2016-11-11   yes   
    53850      2018-2-2     no    
    44258      2017-11-22   yes   
    63481      2019-1-7     no    
    94642      2020-5-12    yes   
    83468      2016-1-15    no    
    25416      2017-12-23   yes   
    92278      2015-4-21    yes   
    80225      2015-6-23    no    
    22405      2020-9-20    no    
    93982      2017-12-1    no    
    71625      2015-9-2     no    
    57772      2016-11-22   yes   
